
cncvae, Clin+mRNA, IC, 2, mmd,0.6388888888888888, 0.5505050505050505, 0.9987373737373737, 0.3484848484848485, 1.0, 0.5934343434343434
hvae, CNA+mRNA, ER, 3, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, CNA+mRNA, ER, 4, mmd,0.7209595959595959, 0.6363636363636364, 0.9059343434343434, 0.7575757575757576, 1.0, 0.7449494949494949
hvae, CNA+mRNA, ER, 4, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, CNA+mRNA, ER, 5, mmd,0.7070707070707071, 0.6540404040404041, 0.9109848484848485, 0.7525252525252525, 0.9993686868686869, 0.7474747474747475
hvae, CNA+mRNA, ER, 5, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, CNA+mRNA, DR, 1, mmd,0.6641414141414141, 0.6136363636363636, 0.9027777777777778, 0.6919191919191919, 0.9993686868686869, 0.6893939393939394
hvae, CNA+mRNA, DR, 1, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, CNA+mRNA, DR, 2, mmd,0.6603535353535354, 0.5833333333333334, 0.9002525252525253, 0.696969696969697, 1.0, 0.6919191919191919
hvae, CNA+mRNA, DR, 2, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, CNA+mRNA, DR, 3, mmd,0.6672979797979798, 0.5934343434343434, 0.9027777777777778, 0.6893939393939394, 1.0, 0.6818181818181818
hvae, CNA+mRNA, DR, 3, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, CNA+mRNA, DR, 4, mmd,0.6597222222222222, 0.5909090909090909, 0.8970959595959596, 0.6944444444444444, 1.0, 0.6818181818181818
hvae, CNA+mRNA, DR, 4, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, CNA+mRNA, DR, 5, mmd,0.6660353535353535, 0.5505050505050505, 0.8996212121212122, 0.6868686868686869, 1.0, 0.6691919191919192
hvae, CNA+mRNA, DR, 5, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, CNA+mRNA, PAM, 1, mmd,0.37436868686868685, 0.2601010101010101, 0.8623737373737373, 0.3282828282828283, 1.0, 0.34595959595959597
hvae, CNA+mRNA, PAM, 1, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, CNA+mRNA, PAM, 2, mmd,0.3680555555555556, 0.2727272727272727, 0.8554292929292929, 0.3333333333333333, 1.0, 0.36363636363636365
hvae, CNA+mRNA, PAM, 2, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, CNA+mRNA, PAM, 3, mmd,0.37626262626262624, 0.23484848484848486, 0.8345959595959596, 0.3383838383838384, 1.0, 0.35353535353535354
hvae, CNA+mRNA, PAM, 3, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, CNA+mRNA, PAM, 4, mmd,0.3693181818181818, 0.2297979797979798, 0.8579545454545454, 0.35858585858585856, 1.0, 0.3333333333333333
hvae, CNA+mRNA, PAM, 4, kl,0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111
hvae, CNA+mRNA, PAM, 5, mmd,0.36363636363636365, 0.2474747474747475, 0.8611111111111112, 0.3484848484848485, 1.0, 0.3484848484848485
hvae, CNA+mRNA, PAM, 5, kl,0.36363636363636365, 0.24242424242424243, 0.3630050505050505, 0.3611111111111111, 0.36363636363636365, 0.24242424242424243
hvae, CNA+mRNA, IC, 1, mmd,0.26452020202020204, 0.12626262626262627, 0.8718434343434344, 0.15656565656565657, 1.0, 0.17676767676767677
hvae, CNA+mRNA, IC, 1, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, CNA+mRNA, IC, 2, mmd,0.25252525252525254, 0.11868686868686869, 0.884469696969697, 0.14898989898989898, 1.0, 0.1717171717171717
hvae, CNA+mRNA, IC, 2, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, CNA+mRNA, IC, 3, mmd,0.255050505050505, 0.12878787878787878, 0.8705808080808081, 0.15656565656565657, 1.0, 0.17424242424242425
hvae, CNA+mRNA, IC, 3, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, CNA+mRNA, IC, 4, mmd,0.26452020202020204, 0.13131313131313133, 0.8743686868686869, 0.1717171717171717, 1.0, 0.12878787878787878
hvae, CNA+mRNA, IC, 4, kl,0.17424242424242425, 0.18181818181818182, 0.1736111111111111, 0.1717171717171717, 0.17424242424242425, 0.1691919191919192
hvae, CNA+mRNA, IC, 5, mmd,0.2588383838383838, 0.13636363636363635, 0.8794191919191919, 0.15656565656565657, 1.0, 0.11868686868686869
hvae, CNA+mRNA, IC, 5, kl,0.15151515151515152, 0.14898989898989898, 0.1736111111111111, 0.1717171717171717, 0.1736111111111111, 0.1717171717171717
hvae, Clin+CNA, ER, 1, mmd,0.7146464646464646, 0.696969696969697, 0.8939393939393939, 0.7626262626262627, 0.9993686868686869, 0.7651515151515151
hvae, Clin+CNA, ER, 1, kl,0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627
hvae, Clin+CNA, ER, 2, mmd,0.6938131313131313, 0.6641414141414141, 0.9065656565656566, 0.76010101010101, 0.9993686868686869, 0.7651515151515151
hvae, Clin+CNA, ER, 2, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+CNA, ER, 3, mmd,0.7108585858585859, 0.6363636363636364, 0.9154040404040404, 0.76010101010101, 1.0, 0.76010101010101
hvae, Clin+CNA, ER, 3, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+CNA, ER, 4, mmd,0.7095959595959596, 0.6818181818181818, 0.8977272727272727, 0.76010101010101, 0.9993686868686869, 0.7550505050505051
hvae, Clin+CNA, ER, 4, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+CNA, ER, 5, mmd,0.7152777777777778, 0.6515151515151515, 0.9059343434343434, 0.76010101010101, 0.9993686868686869, 0.76010101010101
hvae, Clin+CNA, ER, 5, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+CNA, DR, 1, mmd,0.6565656565656566, 0.5808080808080808, 0.8977272727272727, 0.696969696969697, 0.9987373737373737, 0.6919191919191919
hvae, Clin+CNA, DR, 1, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+CNA, DR, 2, mmd,0.6571969696969697, 0.6085858585858586, 0.9097222222222222, 0.6944444444444444, 1.0, 0.6919191919191919
hvae, Clin+CNA, DR, 2, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+CNA, DR, 3, mmd,0.6603535353535354, 0.5732323232323232, 0.9103535353535354, 0.696969696969697, 1.0, 0.6994949494949495
hvae, Clin+CNA, DR, 3, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+CNA, DR, 4, mmd,0.6698232323232324, 0.6186868686868687, 0.9078282828282829, 0.6994949494949495, 0.9993686868686869, 0.6792929292929293
hvae, Clin+CNA, DR, 4, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, Clin+CNA, DR, 5, mmd,0.6420454545454546, 0.5909090909090909, 0.8970959595959596, 0.6868686868686869, 0.9993686868686869, 0.6843434343434344
hvae, Clin+CNA, DR, 5, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, Clin+CNA, PAM, 1, mmd,0.3693181818181818, 0.2196969696969697, 0.8623737373737373, 0.33585858585858586, 1.0, 0.31565656565656564
hvae, Clin+CNA, PAM, 1, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+CNA, PAM, 2, mmd,0.3547979797979798, 0.23484848484848486, 0.8617424242424242, 0.3207070707070707, 1.0, 0.3484848484848485
hvae, Clin+CNA, PAM, 2, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+CNA, PAM, 3, mmd,0.3686868686868687, 0.2297979797979798, 0.8598484848484849, 0.32323232323232326, 1.0, 0.3333333333333333
hvae, Clin+CNA, PAM, 3, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+CNA, PAM, 4, mmd,0.3421717171717172, 0.20959595959595959, 0.860479797979798, 0.33080808080808083, 1.0, 0.3282828282828283
hvae, Clin+CNA, PAM, 4, kl,0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111
hvae, Clin+CNA, PAM, 5, mmd,0.3693181818181818, 0.2196969696969697, 0.8667929292929293, 0.35353535353535354, 1.0, 0.32323232323232326
hvae, Clin+CNA, PAM, 5, kl,0.24684343434343434, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111
hvae, Clin+CNA, IC, 1, mmd,0.26704545454545453, 0.13383838383838384, 0.8775252525252525, 0.1388888888888889, 1.0, 0.1388888888888889
hvae, Clin+CNA, IC, 1, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, Clin+CNA, IC, 2, mmd,0.2638888888888889, 0.1111111111111111, 0.8731060606060606, 0.13383838383838384, 1.0, 0.11868686868686869
hvae, Clin+CNA, IC, 2, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, Clin+CNA, IC, 3, mmd,0.25252525252525254, 0.1388888888888889, 0.8863636363636364, 0.13131313131313133, 1.0, 0.12878787878787878
hvae, Clin+CNA, IC, 3, kl,0.1736111111111111, 0.09595959595959595, 0.1736111111111111, 0.17424242424242425, 0.1736111111111111, 0.1691919191919192
hvae, Clin+CNA, IC, 4, mmd,0.26957070707070707, 0.08333333333333333, 0.8794191919191919, 0.13636363636363635, 1.0, 0.12373737373737374
hvae, Clin+CNA, IC, 4, kl,0.15088383838383837, 0.15151515151515152, 0.1736111111111111, 0.1717171717171717, 0.1736111111111111, 0.1717171717171717
hvae, Clin+CNA, IC, 5, mmd,0.26830808080808083, 0.13636363636363635, 0.8667929292929293, 0.14393939393939395, 1.0, 0.15151515151515152
hvae, Clin+CNA, IC, 5, kl,0.15151515151515152, 0.14898989898989898, 0.1736111111111111, 0.1717171717171717, 0.1736111111111111, 0.1717171717171717
hvae, Clin+mRNA, ER, 1, mmd,0.7039141414141414, 0.7070707070707071, 0.8983585858585859, 0.7626262626262627, 0.9987373737373737, 0.75
hvae, Clin+mRNA, ER, 1, kl,0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627
hvae, Clin+mRNA, ER, 2, mmd,0.6957070707070707, 0.6691919191919192, 0.898989898989899, 0.76010101010101, 0.9993686868686869, 0.7626262626262627
hvae, Clin+mRNA, ER, 2, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+mRNA, ER, 3, mmd,0.7095959595959596, 0.6641414141414141, 0.9185606060606061, 0.7626262626262627, 0.9993686868686869, 0.7626262626262627
hvae, Clin+mRNA, ER, 3, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+mRNA, ER, 4, mmd,0.7108585858585859, 0.6363636363636364, 0.9071969696969697, 0.7525252525252525, 1.0, 0.75
hvae, Clin+mRNA, ER, 4, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+mRNA, ER, 5, mmd,0.6950757575757576, 0.6717171717171717, 0.9008838383838383, 0.76010101010101, 0.9993686868686869, 0.7575757575757576
hvae, Clin+mRNA, ER, 5, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, Clin+mRNA, DR, 1, mmd,0.6565656565656566, 0.6540404040404041, 0.9103535353535354, 0.6893939393939394, 1.0, 0.6994949494949495
hvae, Clin+mRNA, DR, 1, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+mRNA, DR, 2, mmd,0.6407828282828283, 0.6136363636363636, 0.9059343434343434, 0.6868686868686869, 1.0, 0.6767676767676768
hvae, Clin+mRNA, DR, 2, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+mRNA, DR, 3, mmd,0.6609848484848485, 0.6136363636363636, 0.8933080808080808, 0.702020202020202, 1.0, 0.6994949494949495
hvae, Clin+mRNA, DR, 3, kl,0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697, 0.6957070707070707, 0.696969696969697
hvae, Clin+mRNA, DR, 4, mmd,0.6679292929292929, 0.6464646464646465, 0.8977272727272727, 0.696969696969697, 0.9993686868686869, 0.6717171717171717
hvae, Clin+mRNA, DR, 4, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, Clin+mRNA, DR, 5, mmd,0.6609848484848485, 0.6136363636363636, 0.8926767676767676, 0.696969696969697, 1.0, 0.6919191919191919
hvae, Clin+mRNA, DR, 5, kl,0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444, 0.6963383838383839, 0.6944444444444444
hvae, Clin+mRNA, PAM, 1, mmd,0.3541666666666667, 0.255050505050505, 0.8535353535353535, 0.3409090909090909, 1.0, 0.3383838383838384
hvae, Clin+mRNA, PAM, 1, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+mRNA, PAM, 2, mmd,0.3421717171717172, 0.22474747474747475, 0.8585858585858586, 0.3409090909090909, 1.0, 0.3282828282828283
hvae, Clin+mRNA, PAM, 2, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+mRNA, PAM, 3, mmd,0.3768939393939394, 0.25, 0.8383838383838383, 0.3434343434343434, 1.0, 0.3333333333333333
hvae, Clin+mRNA, PAM, 3, kl,0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365, 0.36237373737373735, 0.36363636363636365
hvae, Clin+mRNA, PAM, 4, mmd,0.3851010101010101, 0.20454545454545456, 0.8611111111111112, 0.3383838383838384, 1.0, 0.33585858585858586
hvae, Clin+mRNA, PAM, 4, kl,0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111
hvae, Clin+mRNA, PAM, 5, mmd,0.3547979797979798, 0.2398989898989899, 0.8529040404040404, 0.35353535353535354, 1.0, 0.35858585858585856
hvae, Clin+mRNA, PAM, 5, kl,0.24684343434343434, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111, 0.3630050505050505, 0.3611111111111111
hvae, Clin+mRNA, IC, 1, mmd,0.2657828282828283, 0.12878787878787878, 0.8901515151515151, 0.15656565656565657, 1.0, 0.1414141414141414
hvae, Clin+mRNA, IC, 1, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, Clin+mRNA, IC, 2, mmd,0.26073232323232326, 0.12626262626262627, 0.8863636363636364, 0.15151515151515152, 1.0, 0.1590909090909091
hvae, Clin+mRNA, IC, 2, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
hvae, Clin+mRNA, IC, 3, mmd,0.255050505050505, 0.11616161616161616, 0.88510101010101, 0.15404040404040403, 1.0, 0.15151515151515152
hvae, Clin+mRNA, IC, 3, kl,0.1736111111111111, 0.09595959595959595, 0.1736111111111111, 0.17424242424242425, 0.1736111111111111, 0.1590909090909091
hvae, Clin+mRNA, IC, 4, mmd,0.27525252525252525, 0.12626262626262627, 0.8800505050505051, 0.12626262626262627, 1.0, 0.13636363636363635
hvae, Clin+mRNA, IC, 4, kl,0.15088383838383837, 0.15151515151515152, 0.1736111111111111, 0.1717171717171717, 0.1736111111111111, 0.1717171717171717
hvae, Clin+mRNA, IC, 5, mmd,0.26957070707070707, 0.08333333333333333, 0.8699494949494949, 0.16666666666666666, 1.0, 0.17676767676767677
hvae, Clin+mRNA, IC, 5, kl,0.15151515151515152, 0.14898989898989898, 0.1736111111111111, 0.1717171717171717, 0.1736111111111111, 0.1717171717171717
hvae, Clin+mRNA, PAM, 2, mmd,0.27904040404040403, 0.20454545454545456, 0.8055555555555556, 0.31313131313131315, 1.0, 0.3409090909090909


hvae, Clin+mRNA, PAM, 2, mmd,0.5542929292929293, 0.4217171717171717, 0.8977272727272727, 0.46464646464646464, 1.0, 0.37626262626262624
hvae, Clin+mRNA, PAM, 2, mmd,0.538510101010101, 0.4318181818181818, 0.9349747474747475, 0.45202020202020204, 1.0, 0.3686868686868687
hvae, Clin+mRNA, PAM, 2, mmd,0.5334595959595959, 0.4090909090909091, 0.9311868686868687, 0.45707070707070707, 1.0, 0.37373737373737376
hvae, Clin+mRNA, PAM, 2, mmd,0.5202020202020202, 0.45202020202020204, 0.86489898989899, 0.494949494949495, 1.0, 0.4318181818181818
hvae, Clin+mRNA, PAM, 4, mmd,0.4943181818181818, 0.4015151515151515, 0.8535353535353535, 0.4823232323232323, 1.0, 0.4166666666666667
hvae, Clin+mRNA, PAM, 4, kl,0.44696969696969696, 0.15656565656565657, 0.3630050505050505, 0.3611111111111111, 1.0, 0.2878787878787879
hvae, Clin+mRNA, PAM, 4, kl,0.3213383838383838, 0.2727272727272727, 0.3630050505050505, 0.3611111111111111, 1.0, 0.3661616161616162
hvae, Clin+mRNA, ER, 1, mmd,0.8131313131313131, 0.8055555555555556, 0.9589646464646465, 0.8005050505050505, 0.9993686868686869, 0.7777777777777778
hvae, Clin+mRNA, ER, 1, mmd,0.8087121212121212, 0.7878787878787878, 0.9570707070707071, 0.8005050505050505, 1.0, 0.7702020202020202
hvae, Clin+mRNA, ER, 2, mmd,0.8143939393939394, 0.7702020202020202, 0.9577020202020202, 0.797979797979798, 1.0, 0.76010101010101
hvae, Clin+mRNA, ER, 2, mmd,0.8143939393939394, 0.7702020202020202, 0.8074494949494949, 0.7904040404040404, 1.0, 0.76010101010101
hvae, Clin+mRNA, ER, 2, mmd,0.8465909090909091, 0.7929292929292929, 0.9678030303030303, 0.8434343434343434, 0.9993686868686869, 0.7954545454545454
hvae, Clin+mRNA, ER, 2, mmd,0.8143939393939394, 0.7702020202020202, 0.9747474747474747, 0.8434343434343434, 1.0, 0.76010101010101
hvae, Clin+mRNA, ER, 2, mmd,0.8042929292929293, 0.7878787878787878, 0.7607323232323232, 0.76010101010101, 0.9993686868686869, 0.8131313131313131
hvae, Clin+mRNA, ER, 2, mmd,0.8042929292929293, 0.7878787878787878, 0.7607323232323232, 0.76010101010101, 0.9993686868686869, 0.8131313131313131
hvae, Clin+mRNA, ER, 2, mmd,0.8705808080808081, 0.8737373737373737, 0.9880050505050505, 0.8762626262626263, 1.0, 0.8282828282828283
hvae, Clin+mRNA, ER, 2, mmd,0.7954545454545454, 0.7878787878787878, 0.9507575757575758, 0.797979797979798, 0.9993686868686869, 0.75
hvae, Clin+mRNA, ER, 2, mmd,0.8175505050505051, 0.8232323232323232, 0.9381313131313131, 0.8282828282828283, 1.0, 0.803030303030303
hvae, Clin+mRNA, IC, 2, mmd,0.4911616161616162, 0.3686868686868687, 0.8914141414141414, 0.4090909090909091, 1.0, 0.3560606060606061
hvae, Clin+mRNA, IC, 2, mmd,0.6022727272727273, 0.5176767676767676, 0.9539141414141414, 0.547979797979798, 1.0, 0.4015151515151515
hvae, Clin+mRNA, IC, 2, mmd,0.6022727272727273, 0.5176767676767676, 0.9539141414141414, 0.547979797979798, 1.0, 0.4015151515151515
hvae, Clin+mRNA, IC, 2, mmd,0.6022727272727273, 0.5176767676767676, 0.9539141414141414, 0.547979797979798, 1.0, 0.4015151515151515
hvae, Clin+CNA, IC, 2, mmd,0.5006313131313131, 0.3787878787878788, 0.8863636363636364, 0.43686868686868685, 1.0, 0.30303030303030304
hvae, Clin+CNA, IC, 2, mmd,0.5050505050505051, 0.37373737373737376, 0.8926767676767676, 0.43686868686868685, 1.0, 0.28535353535353536
hvae, Clin+mRNA, IC, 2, mmd,0.42234848484848486, 0.3383838383838384, 0.8478535353535354, 0.44191919191919193, 1.0, 0.29797979797979796
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 2, mmd,0.5183080808080808, 0.36363636363636365, 0.9217171717171717, 0.4166666666666667, 1.0, 0.29545454545454547
hvae, Clin+mRNA, IC, 3, mmd,0.5082070707070707, 0.3560606060606061, 0.9147727272727273, 0.42676767676767674, 1.0, 0.30808080808080807
hvae, Clin+mRNA, IC, 3, mmd,0.5006313131313131, 0.3611111111111111, 0.9116161616161617, 0.41414141414141414, 1.0, 0.29545454545454547
