homophily around 82
Model, Train_Naive_Bayes, Test_Naive_Bayes, Train_CSV, Test_CVS, Train_Random_Forest, Test_Random_Forest
dgi_singular_graph, 0.8764186633039092, 0.8131067961165048, 1.0, 0.4854368932038835, 1.0, 0.8689320388349514
dgi_hetero_graph, 0.5491803278688525, 0.49271844660194175, 1.0, 0.4854368932038835, 1.0, 0.38106796116504854
vgae_singular_graph_kl, 0.9218158890290038, 0.7233009708737864, 0.9993694829760403, 0.7669902912621359, 0.9993694829760403, 0.9514563106796117
cncvae, 0.8997477931904161, 0.6771844660194175, 1.0, 0.4854368932038835, 1.0, 0.7427184466019418
dgi_2_graph, 0.955233291298865, 0.9053398058252428, 1.0, 0.4854368932038835, 1.0, 0.9368932038834952
dgi_singular_graph, 0.7805800756620429, 0.7451456310679612, 1.0, 0.4854368932038835, 1.0, 0.7888349514563107
dgi_hetero_graph, 0.6456494325346784, 0.4441747572815534, 1.0, 0.4854368932038835, 1.0, 0.5315533980582524
vgae_singular_graph_kl, 0.8745271122320303, 0.5145631067961165, 1.0, 0.837378640776699, 0.9993694829760403, 0.5485436893203883
dgi_1_graph_1, 0.8486759142496847, 0.7354368932038835, 0.9161412358133669, 0.6116504854368932, 1.0, 0.7936893203883495
dgi_1_graph_2, 0.7994955863808323, 0.7184466019417476, 0.8883984867591425, 0.7985436893203883, 1.0, 0.7233009708737864
cncvae, 0.914249684741488, 0.6893203883495146, 0.9274905422446406, 0.837378640776699, 1.0, 0.7402912621359223
dgi_2_graph, 0.926860025220681, 0.7912621359223301, 0.9464060529634301, 0.6140776699029126, 1.0, 0.9004854368932039
dgi_singular_graph, 0.7301387137452712, 0.7038834951456311, 0.8486759142496847, 0.808252427184466, 1.0, 0.7184466019417476
dgi_hetero_graph, 0.5384615384615384, 0.48058252427184467, 0.8883984867591425, 0.6067961165048543, 1.0, 0.44660194174757284

Homophily around 70%
dgi_1_graph_1, 0.7219419924337958, 0.662621359223301, 0.8940731399747793, 0.6456310679611651, 1.0, 0.7912621359223301
dgi_1_graph_2, 0.832282471626734, 0.7597087378640777, 0.8833543505674654, 0.8300970873786407, 1.0, 0.779126213592233
dgi_2_graph, 0.8707440100882724, 0.7839805825242718, 0.937578814627995, 0.8737864077669902, 1.0, 0.8446601941747572
dgi_singular_graph, 0.7648171500630517, 0.7233009708737864, 0.8221941992433796, 0.7815533980582524, 1.0, 0.7257281553398058
Concatenate and linear over
dgi_2_graph, 0.5561160151324086, 0.5558252427184466, 0.6153846153846154, 0.5898058252427184, 0.9867591424968474, 0.5266990291262136
more learning time
dgi_2_graph, 0.5441361916771753, 0.5048543689320388, 0.7389659520807061, 0.6699029126213593, 0.9987389659520807, 0.5898058252427184
dgi_2_graph, 0.5933165195460277, 0.5364077669902912, 0.8076923076923077, 0.6432038834951457, 0.9993694829760403, 0.7063106796116505
dgi_hetero_graph, 0.6153846153846154, 0.5145631067961165, 0.8020176544766708, 0.5048543689320388, 1.0, 0.4854368932038835
dgi_hetero_graph, 0.712484237074401, 0.7087378640776699, 1.0, 0.4854368932038835, 1.0, 0.6019417475728155
dgi_hetero_graph, 0.5088272383354351, 0.47572815533980584, 1.0, 0.4854368932038835, 1.0, 0.5072815533980582

what I have changed here was add a suplmetary conv layer in Encoder Hetero
Double Layered encoder, week homophily and strong homophily
dgi_hetero_graph, 0.8215636822194199, 0.8058252427184466, 0.9419924337957125, 0.9393203883495146, 1.0, 0.9320388349514563
almost equal homopilies one 73 and the other 65
dgi_hetero_graph, 0.8083228247162674, 0.808252427184466, 0.9382093316519546, 0.9199029126213593, 1.0, 0.8786407766990292
dgi_hetero_graph, 0.8083228247162674, 0.808252427184466, 0.9382093316519546, 0.9199029126213593, 1.0, 0.8786407766990292
dgi_hetero_graph, 0.9186633039092056, 0.9029126213592233, 0.9735182849936949, 0.9466019417475728, 1.0, 0.941747572815534
dgi_hetero_graph, 0.9186633039092056, 0.9029126213592233, 0.9735182849936949, 0.9466019417475728, 1.0, 0.941747572815534
dgi_hetero_graph, 0.9186633039092056, 0.9029126213592233, 0.9735182849936949, 0.9466019417475728, 1.0, 0.941747572815534
dgi_hetero_graph, 0.9186633039092056, 0.9029126213592233, 0.9735182849936949, 0.9466019417475728, 1.0, 0.941747572815534
dgi_hetero_graph, 0.9186633039092056, 0.9029126213592233, 0.9735182849936949, 0.9466019417475728, 1.0, 0.941747572815534
